,0
0,"(1, 1, 'systemd', Decimal('0.000'), Decimal('0.310'), datetime.datetime(2022, 11, 23, 14, 34, 42, 910000))"
1,"(2, 2, 'kthreadd', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 42, 947000))"
2,"(3, 3, 'rcu_gp', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 42, 967000))"
3,"(4, 4, 'rcu_par_gp', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 42, 977000))"
4,"(5, 5, 'netns', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 42, 987000))"
5,"(6, 6, 'kworker/0:0-events', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 3000))"
6,"(7, 7, 'kworker/0:0H-events_highpri', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 17000))"
7,"(8, 8, 'kworker/u4:0-flush-259:0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 30000))"
8,"(9, 9, 'mm_percpu_wq', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 40000))"
9,"(10, 10, 'rcu_tasks_rude_', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 50000))"
10,"(11, 11, 'rcu_tasks_trace', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 60000))"
11,"(12, 12, 'ksoftirqd/0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 73000))"
12,"(13, 13, 'rcu_sched', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 83000))"
13,"(14, 14, 'migration/0', Decimal('0.000'), Decimal('0.000'), datetime.datetime(2022, 11, 23, 14, 34, 43, 97000))"
